lokasi_id,provinsi,kabupaten_kota,kecamatan,kelurahan,kode_pos,alamat_detail,latitude,longitude,created_at,updated_at
LOK000001,Jawa Tengah,Sukoharjo,Grogol,Langenharjo,57552,Jl. Pangeran Diponegoro Gang Melati No. 211,-7.612192,110.817650,2024-01-14 23:42:14,2024-02-06 23:42:14
LOK000002,Jawa Tengah,Surakarta,Banjarsari,Nusukan,57135,"Sentra UMKM Klewer, Kios F45",-7.564284,110.836902,2024-01-05 04:33:27,2024-02-17 04:33:27
LOK000003,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,Jl. Industri Kecil Gang Sawo No. 57,-7.542182,110.749836,2025-07-20 09:59:54,2025-08-31 09:59:54
LOK000004,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190,Pasar Klewer Los B-170,-6.210219,106.794301,2025-10-07 01:24:17,2025-11-29 01:24:17
LOK000005,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Pasar Pucangsawit Los D-149,-7.579737,110.790443,2024-09-22 14:56:25,2024-11-17 14:56:25
LOK000006,Jawa Tengah,Boyolali,Boyolali,Pulisen,57316,Jl. Brigjen Katamso No. 58 RT 05/RW 09,-7.524526,110.577283,2024-06-02 06:47:02,2024-07-16 06:47:02
LOK000007,Jawa Tengah,Semarang,Banyumanik,Ngesrep,50263,"Sentra UMKM Colomadu, Kios A44",-7.059954,110.412204,2025-12-24 10:33:49,2026-01-19 10:33:49
LOK000008,Jawa Tengah,Sukoharjo,Kartasura,Pabelan,57169,"Sentra UMKM Gede, Kios A225",-7.538088,110.757774,2024-04-22 02:27:39,2024-05-17 02:27:39
LOK000009,Jawa Tengah,Karanganyar,Colomadu,Malangjiwan,57177,Jl. Ir. Soekarno Kav. 119 Blok E,-7.553031,110.748825,2024-10-02 10:32:32,2024-11-17 10:32:32
LOK000010,Jawa Tengah,Boyolali,Boyolali,Pulisen,57316,"Sentra UMKM Grogol, Kios C117",-7.557618,110.593899,2025-11-19 12:22:36,2025-11-22 12:22:36
LOK000011,Jawa Tengah,Sukoharjo,Kartasura,Ngadirejo,57169,Jl. Diponegoro No. 222 RT 09/RW 12,-7.543797,110.790034,2024-06-26 17:41:08,2024-06-28 17:41:08
LOK000012,Jawa Barat,Bogor,Tanah Sareal,Kayumanis,16161,"Sentra UMKM Klewer, Kios E75",-6.582869,106.781363,2024-06-03 18:17:50,2024-07-23 18:17:50
LOK000013,Jawa Tengah,Surakarta,Laweyan,Kerten,57146,"Sentra UMKM Kartasura, Kios E7",-7.564519,110.789241,2025-08-10 11:02:32,2025-09-02 11:02:32
LOK000014,Jawa Barat,Bekasi,Bekasi Selatan,Pekayon Jaya,17148,Jl. Pandanaran No. 49 RT 07/RW 10,-6.216306,106.999109,2026-03-23 17:58:44,2026-04-20 17:58:44
LOK000015,Jawa Barat,Bogor,Tanah Sareal,Kayumanis,16161,"Sentra UMKM Colomadu, Kios E40",-6.567349,106.770958,2026-04-05 20:13:43,2026-05-29 20:13:43
LOK000016,Jawa Tengah,Semarang,Tembalang,Kedungmundu,50275,Jl. Dr. Rajiman No. 27 RT 06/RW 01,-7.055106,110.419060,2024-12-17 02:44:15,2025-01-15 02:44:15
LOK000017,Jawa Tengah,Banyumas,Purwokerto Timur,Kranji,53116,Pasar Beringharjo Los E-187,-7.426922,109.231994,2025-05-04 07:24:36,2025-05-04 07:24:36
LOK000018,Jawa Tengah,Surakarta,Laweyan,Sondakan,57146,Jl. Pangeran Diponegoro No. 84 RT 04/RW 01,-7.569434,110.778415,2024-11-15 00:06:06,2024-12-24 00:06:06
LOK000019,Jawa Tengah,Surakarta,Laweyan,Pajang,57146,"Jl. Cemara KM 1.6, RT 01/RW 12",-7.564078,110.773032,2026-01-11 03:44:24,2026-01-23 03:44:24
LOK000020,Jawa Tengah,Banyumas,Purwokerto Timur,Arcawinangun,53116,Jl. Veteran Gang Melati No. 169,-7.445127,109.256089,2025-02-10 15:56:21,2025-03-03 15:56:21
LOK000021,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Melawai,12190,Kompleks Ruko Griya Usaha Blok A No. 131,-6.253522,106.787265,2025-04-14 09:25:12,2025-05-25 09:25:12
LOK000022,Jawa Timur,Madiun,Taman,Mojorejo,63139,Jl. Anggrek Gang Melati No. 122,-7.649780,111.506279,2025-10-16 11:14:36,2025-11-13 11:14:36
