umkm_id,status_perkembangan_id,laba_harian,jumlah_produk,created_at
UMK000001,STABIL,1695000,6,2026-05-29 05:04:00
UMK000002,STABIL,185000,5,2026-05-29 06:36:00
UMK000003,STABIL,974000,2,2026-05-29 07:51:00
UMK000004,STABIL,330000,4,2026-05-29 04:36:00
UMK000005,STABIL,200000,1,2026-05-29 06:23:00
UMK000006,STABIL,93000,4,2026-05-29 02:42:00
UMK000007,STABIL,783000,5,2026-05-29 08:16:00
UMK000008,STABIL,60000,4,2026-05-29 04:34:00
UMK000009,STABIL,423000,2,2026-05-29 09:15:00
UMK000010,STABIL,142000,3,2026-05-29 03:37:00
UMK000011,NAIK,331000,2,2026-05-29 07:56:00
UMK000012,STABIL,262000,3,2026-05-29 07:54:00
UMK000013,STABIL,733000,4,2026-05-29 06:14:00
UMK000014,STABIL,267000,5,2026-05-29 09:06:00
UMK000015,STABIL,141000,4,2026-05-29 05:00:00
UMK000016,STABIL,688000,2,2026-05-29 08:22:00
UMK000017,STABIL,309000,3,2026-05-29 04:34:00
UMK000018,STABIL,257000,3,2026-05-29 09:03:00
UMK000019,NAIK,377000,3,2026-05-29 03:46:00
UMK000020,NAIK,971000,7,2026-05-29 06:02:00
UMK000021,STABIL,1653000,1,2026-05-29 05:45:00
UMK000022,STABIL,324000,2,2026-05-29 04:42:00
UMK000023,STABIL,69000,4,2026-05-29 01:28:00
UMK000024,STABIL,178000,3,2026-05-29 08:31:00
UMK000025,STABIL,2218000,5,2026-05-29 02:23:00
UMK000026,STABIL,430000,5,2026-05-29 02:09:00
UMK000027,STABIL,568000,7,2026-05-29 04:54:00
UMK000028,STABIL,250000,2,2026-05-29 05:51:00
UMK000029,STABIL,88000,2,2026-05-29 02:43:00
UMK000030,STABIL,469000,4,2026-05-29 06:54:00
UMK000031,STABIL,87000,4,2026-05-29 02:56:00
UMK000032,STABIL,358000,3,2026-05-29 05:51:00
UMK000033,STABIL,551000,2,2026-05-29 01:32:00
UMK000034,STABIL,250000,3,2026-05-29 03:25:00
UMK000035,STABIL,332000,2,2026-05-29 04:22:00
UMK000036,NAIK,2308000,3,2026-05-29 04:01:00
UMK000037,STABIL,344000,4,2026-05-29 05:59:00
UMK000038,STABIL,173000,6,2026-05-29 08:52:00
UMK000039,STABIL,238000,6,2026-05-29 08:38:00
UMK000040,STABIL,281000,4,2026-05-29 08:37:00
UMK000041,NAIK,220000,5,2026-05-29 06:51:00
UMK000042,NAIK,496000,7,2026-05-29 04:41:00
UMK000043,STABIL,143000,2,2026-05-29 08:03:00
UMK000044,STABIL,312000,2,2026-05-29 04:22:00
UMK000045,STABIL,686000,3,2026-05-29 09:09:00
UMK000046,STABIL,1195000,1,2026-05-29 07:10:00
UMK000047,STABIL,101000,4,2026-05-29 03:57:00
UMK000048,NAIK,234000,4,2026-05-29 07:06:00
UMK000049,STABIL,701000,4,2026-05-29 06:46:00
UMK000050,STABIL,100000,4,2026-05-29 05:32:00
UMK000051,STABIL,346000,3,2026-05-29 05:28:00
UMK000052,STABIL,231000,3,2026-05-29 06:44:00
UMK000053,STABIL,100000,3,2026-05-29 01:28:00
UMK000054,STABIL,237000,4,2026-05-29 02:57:00
UMK000055,STABIL,110000,5,2026-05-29 08:38:00
UMK000056,STABIL,65000,7,2026-05-29 06:47:00
UMK000057,STABIL,166000,6,2026-05-29 07:21:00
UMK000058,STABIL,503000,4,2026-05-29 07:29:00
UMK000059,STABIL,293000,2,2026-05-29 06:32:00
UMK000060,STABIL,251000,4,2026-05-29 03:12:00
UMK000061,STABIL,333000,4,2026-05-29 04:45:00
UMK000062,STABIL,334000,4,2026-05-29 09:39:00
UMK000063,STABIL,194000,3,2026-05-29 01:44:00
UMK000064,STABIL,425000,6,2026-05-29 09:22:00
UMK000065,STABIL,172000,5,2026-05-29 04:52:00
UMK000066,STABIL,159000,3,2026-05-29 03:39:00
UMK000067,NAIK,1271000,6,2026-05-29 09:11:00
UMK000068,NAIK,953000,5,2026-05-29 08:49:00
UMK000069,STABIL,1552000,2,2026-05-29 01:06:00
UMK000070,STABIL,134000,5,2026-05-29 03:16:00
UMK000071,STABIL,97000,5,2026-05-29 03:00:00
UMK000072,STABIL,143000,5,2026-05-29 09:36:00
UMK000073,STABIL,176000,3,2026-05-29 09:21:00
UMK000074,STABIL,212000,2,2026-05-29 02:13:00
UMK000075,STABIL,729000,3,2026-05-29 06:24:00
UMK000076,EKSPANSI,155000,4,2026-05-29 05:04:00
UMK000077,STABIL,276000,5,2026-05-29 02:55:00
UMK000078,STABIL,340000,4,2026-05-29 05:40:00
UMK000079,STABIL,142000,5,2026-05-29 04:21:00
UMK000080,STABIL,222000,5,2026-05-29 01:13:00
UMK000081,NAIK,235000,6,2026-05-29 09:28:00
UMK000082,STABIL,287000,2,2026-05-29 09:55:00
UMK000083,NAIK,206000,3,2026-05-29 06:57:00
UMK000084,STABIL,188000,5,2026-05-29 01:18:00
UMK000085,STABIL,827000,4,2026-05-29 05:53:00
UMK000086,STABIL,453000,2,2026-05-29 03:07:00
UMK000087,NAIK,504000,6,2026-05-29 02:41:00
UMK000088,STABIL,492000,4,2026-05-29 07:59:00
UMK000089,NAIK,300000,4,2026-05-29 04:38:00
UMK000090,STABIL,77000,1,2026-05-29 01:29:00
UMK000091,STABIL,239000,2,2026-05-29 06:12:00
UMK000092,STABIL,535000,4,2026-05-29 07:05:00
UMK000093,STABIL,408000,5,2026-05-29 03:26:00
UMK000094,STABIL,384000,2,2026-05-29 09:56:00
UMK000095,STABIL,211000,2,2026-05-29 01:59:00
UMK000096,STABIL,295000,5,2026-05-29 02:18:00
UMK000097,TURUN,130479,6,2026-05-29 03:53:00
UMK000098,STABIL,149000,3,2026-05-29 04:21:00
UMK000099,STABIL,443000,6,2026-05-29 09:23:00
UMK000100,EKSPANSI,121000,4,2026-05-29 03:01:00
UMK000101,STABIL,103000,6,2026-05-29 02:17:00
UMK000102,STABIL,383000,5,2026-05-29 07:56:00
UMK000103,STABIL,126000,6,2026-05-29 04:04:00
UMK000104,STABIL,317000,5,2026-05-29 02:09:00
UMK000105,STABIL,816000,5,2026-05-29 03:45:00
UMK000106,NAIK,339000,4,2026-05-29 01:01:00
UMK000107,STABIL,1068000,5,2026-05-29 02:08:00
UMK000108,STABIL,582000,5,2026-05-29 06:22:00
UMK000109,STABIL,124000,5,2026-05-29 04:19:00
UMK000110,STABIL,431000,4,2026-05-29 02:12:00
UMK000111,NAIK,556000,3,2026-05-29 05:49:00
UMK000112,STABIL,351000,5,2026-05-29 03:18:00
UMK000113,STABIL,367000,2,2026-05-29 04:27:00
UMK000114,NAIK,284000,5,2026-05-29 09:51:00
UMK000115,NAIK,842000,6,2026-05-29 07:06:00
UMK000116,NAIK,115000,3,2026-05-29 05:22:00
UMK000117,STABIL,246000,4,2026-05-29 03:11:00
UMK000118,NAIK,409000,7,2026-05-29 08:59:00
UMK000119,STABIL,138000,3,2026-05-29 05:58:00
UMK000120,STABIL,58000,2,2026-05-29 09:51:00
UMK000121,STABIL,135000,2,2026-05-29 06:39:00
UMK000122,STABIL,726000,5,2026-05-29 07:36:00
UMK000123,STABIL,1344000,5,2026-05-29 03:09:00
UMK000124,NAIK,214000,1,2026-05-29 06:34:00
UMK000125,STABIL,578000,3,2026-05-29 09:53:00
UMK000126,EKSPANSI,1313000,6,2026-05-29 01:45:00
UMK000127,STABIL,173000,6,2026-05-29 07:03:00
UMK000128,STABIL,269000,4,2026-05-29 03:44:00
UMK000129,STABIL,789000,2,2026-05-29 09:17:00
UMK000130,STABIL,203000,2,2026-05-29 08:54:00
UMK000131,STABIL,639000,3,2026-05-29 03:46:00
UMK000132,STABIL,3766000,1,2026-05-29 04:56:00
UMK000133,NAIK,407000,5,2026-05-29 06:34:00
UMK000134,STABIL,348000,2,2026-05-29 08:22:00
UMK000135,STABIL,1864000,3,2026-05-29 06:59:00
UMK000136,STABIL,256000,2,2026-05-29 07:32:00
UMK000137,STABIL,1407000,2,2026-05-29 04:44:00
UMK000138,NAIK,1135000,3,2026-05-29 09:58:00
UMK000139,NAIK,635000,5,2026-05-29 05:18:00
UMK000140,NAIK,381000,7,2026-05-29 06:42:00
UMK000141,STABIL,70000,5,2026-05-29 03:12:00
UMK000142,STABIL,338000,3,2026-05-29 06:47:00
UMK000143,EKSPANSI,689000,6,2026-05-29 02:31:00
UMK000144,EKSPANSI,578000,4,2026-05-29 02:35:00
UMK000145,STABIL,65000,2,2026-05-29 04:15:00
UMK000146,STABIL,413000,4,2026-05-29 03:17:00
UMK000147,STABIL,355000,1,2026-05-29 02:24:00
UMK000148,NAIK,390000,7,2026-05-29 02:03:00
UMK000149,STABIL,65000,7,2026-05-29 01:18:00
UMK000150,STABIL,345000,6,2026-05-29 04:10:00
UMK000151,NAIK,129000,6,2026-05-29 06:50:00
UMK000152,STABIL,124000,4,2026-05-29 05:38:00
UMK000153,STABIL,810000,5,2026-05-29 09:38:00
UMK000154,STABIL,942000,3,2026-05-29 02:45:00
UMK000155,STABIL,275000,2,2026-05-29 07:49:00
UMK000156,STABIL,248000,5,2026-05-29 06:01:00
UMK000157,STABIL,211000,3,2026-05-29 06:27:00
UMK000158,STABIL,503000,4,2026-05-29 09:34:00
UMK000159,STABIL,384000,3,2026-05-29 09:41:00
UMK000160,EKSPANSI,501000,2,2026-05-29 05:22:00
UMK000161,STABIL,216000,5,2026-05-29 02:11:00
UMK000162,NAIK,273000,4,2026-05-29 04:31:00
UMK000163,STABIL,304000,3,2026-05-29 05:45:00
UMK000164,STABIL,751000,4,2026-05-29 02:04:00
UMK000165,STABIL,820000,6,2026-05-29 03:27:00
UMK000166,STABIL,617000,4,2026-05-29 04:57:00
UMK000167,NAIK,528000,5,2026-05-29 07:06:00
UMK000168,NAIK,326000,3,2026-05-29 05:29:00
UMK000169,STABIL,623000,3,2026-05-29 03:34:00
UMK000170,NAIK,272000,5,2026-05-29 02:11:00
UMK000171,STABIL,380000,1,2026-05-29 06:30:00
UMK000172,STABIL,403000,3,2026-05-29 03:47:00
UMK000173,STABIL,187578,3,2026-05-29 04:02:00
UMK000174,EKSPANSI,572000,6,2026-05-29 03:25:00
UMK000175,STABIL,194000,3,2026-05-29 06:22:00
UMK000176,STABIL,191000,3,2026-05-29 09:59:00
UMK000177,STABIL,429000,4,2026-05-29 07:12:00
UMK000178,STABIL,2424000,4,2026-05-29 01:36:00
