penjualan_id,umkm_id,tanggal_transaksi,nomor_transaksi,total_omzet,total_laba,total_item,catatan,status_transaksi,created_by_akun_id,created_at,updated_at
PJL000001,UMK003107,2024-03-14,SALE-2024-00000001,1076000,473500,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN003357,2024-03-15 08:07:42,2024-03-15 08:07:42
PJL000002,UMK001145,2026-02-03,SALE-2026-00000002,417000,128700,6,Transaksi final dari rekap UMKM.,FINAL,AKUN001395,2026-02-03 23:33:22,2026-02-03 23:33:22
PJL000003,UMK000295,2024-04-05,SALE-2024-00000003,171000,50500,2,Transaksi final dari rekap UMKM.,FINAL,AKUN000545,2024-04-05 14:30:58,2024-04-05 14:30:58
PJL000004,UMK000440,2024-07-07,SALE-2024-00000004,1759500,775900,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN000690,2024-07-07 08:05:45,2024-07-07 08:05:45
PJL000005,UMK004817,2025-04-03,SALE-2025-00000005,66500,20400,1,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN005067,2025-04-03 20:43:57,2025-04-03 20:43:57
PJL000006,UMK001208,2024-11-14,SALE-2024-00000006,1046000,305100,2,Transaksi final dari rekap UMKM.,FINAL,AKUN001458,2024-11-14 17:25:53,2024-11-14 17:25:53
PJL000007,UMK003077,2025-07-16,SALE-2025-00000007,253000,46300,2,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN003327,2025-07-17 02:49:50,2025-07-17 02:49:50
PJL000008,UMK002286,2025-01-01,SALE-2025-00000008,1509500,483500,1,Transaksi final dari rekap UMKM.,FINAL,AKUN002536,2025-01-01 19:50:13,2025-01-01 19:50:13
PJL000009,UMK003565,2025-02-05,SALE-2025-00000009,591500,247100,7,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN003815,2025-02-05 15:47:11,2025-02-05 15:47:11
PJL000010,UMK004219,2025-05-15,SALE-2025-00000010,418000,122100,4,Data penjualan masuk dari pencatatan operasional UMKM.,CANCELLED,AKUN004469,2025-05-16 02:45:15,2025-05-16 06:03:15
PJL000011,UMK002200,2025-07-10,SALE-2025-00000011,444000,97600,6,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN002450,2025-07-10 13:33:28,2025-07-10 13:33:28
PJL000012,UMK001136,2025-05-06,SALE-2025-00000012,1506000,406300,1,Penjualan produk utama dan produk pendukung.,FINAL,AKUN001386,2025-05-07 03:21:55,2025-05-07 03:21:55
PJL000013,UMK002600,2025-01-22,SALE-2025-00000013,19000,5200,2,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN002850,2025-01-23 01:10:38,2025-01-23 01:10:38
PJL000014,UMK003677,2024-02-01,SALE-2024-00000014,633500,209600,7,Penjualan produk utama dan produk pendukung.,FINAL,AKUN003927,2024-02-02 13:47:05,2024-02-02 13:47:05
PJL000015,UMK004107,2024-04-15,SALE-2024-00000015,780000,275200,4,Transaksi final dari rekap UMKM.,CANCELLED,AKUN004357,2024-04-15 14:49:13,2024-04-15 16:43:13
PJL000016,UMK001099,2024-12-11,SALE-2024-00000016,3371000,1139100,1,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN001349,2024-12-11 01:42:41,2024-12-11 01:42:41
PJL000017,UMK000368,2024-10-18,SALE-2024-00000017,254000,91200,2,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN000618,2024-10-18 05:38:09,2024-10-18 05:38:09
PJL000018,UMK000303,2025-09-22,SALE-2025-00000018,1345000,538400,2,Penjualan produk utama dan produk pendukung.,FINAL,AKUN000553,2025-09-23 08:27:17,2025-09-23 08:27:17
PJL000019,UMK002030,2025-08-13,SALE-2025-00000019,339000,71300,6,Transaksi final dari rekap UMKM.,FINAL,AKUN002280,2025-08-14 00:31:53,2025-08-14 00:31:53
PJL000020,UMK003535,2025-04-21,SALE-2025-00000020,819000,181500,9,Data penjualan masuk dari pencatatan operasional UMKM.,FINAL,AKUN003785,2025-04-21 19:48:48,2025-04-21 19:48:48
PJL000021,UMK004088,2024-08-24,SALE-2024-00000021,630000,232100,2,Penjualan harian dari kanal offline dan/atau online.,FINAL,AKUN004338,2024-08-25 15:00:14,2024-08-25 15:00:14
PJL000022,UMK004218,2025-05-14,SALE-2025-00000022,1081000,268200,2,Rekap transaksi penjualan untuk analisis omzet.,FINAL,AKUN004468,2025-05-15 00:03:04,2025-05-15 00:03:04
