penjualan_item_id,penjualan_id,produk_id,nama_produk_snapshot,harga_satuan_snapshot,jumlah,created_at
PJI000001,PJL000001,PRD012420,Jasa Admin Marketplace,538000,2,2024-03-15 09:34:42
PJI000002,PJL000002,PRD004484,Snack Mix,69500,6,2026-02-03 20:09:22
PJI000003,PJL000003,PRD001104,Frozen Food,85500,2,2024-04-05 21:27:58
PJI000004,PJL000004,PRD001685,Template Konten,1759500,1,2024-07-07 17:33:45
PJI000005,PJL000005,PRD019224,Kopi Robusta,66500,1,2025-04-03 02:05:57
PJI000006,PJL000006,PRD004741,Jasa Cleaning,523000,2,2024-11-14 21:32:53
PJI000007,PJL000007,PRD012302,Hair Tonic Herbal,126500,2,2025-07-16 21:41:50
PJI000008,PJL000008,PRD009125,Jasa Reparasi Tas,1509500,1,2025-01-01 20:28:13
PJI000009,PJL000009,PRD014222,Paket Sembako,84500,7,2025-02-06 00:17:11
PJI000010,PJL000010,PRD016838,Kopi Robusta,104500,4,2025-05-16 05:31:15
PJI000011,PJL000011,PRD008789,Bumbu Pecel,74000,6,2025-07-11 04:17:28
PJI000012,PJL000012,PRD004441,Jasa Cleaning,1506000,1,2025-05-06 22:51:55
PJI000013,PJL000013,PRD010411,Sambal Bawang,9500,2,2025-01-22 08:08:38
PJI000014,PJL000014,PRD014679,Krupuk Ikan,90500,7,2024-02-02 04:52:05
PJI000015,PJL000015,PRD016387,Paket Alat Kebersihan,195000,4,2024-04-15 12:51:13
PJI000016,PJL000016,PRD004306,Katalog Interaktif,3371000,1,2024-12-11 01:33:41
PJI000017,PJL000017,PRD001400,Kopi Susu Botol,127000,2,2024-10-18 04:17:09
PJI000018,PJL000018,PRD001131,Paket Catering Event,672500,2,2025-09-23 04:58:17
PJI000019,PJL000019,PRD008106,Batik Tulis,56500,6,2025-08-13 18:24:53
PJI000020,PJL000020,PRD014117,Roti Pisang,91000,9,2025-04-22 00:11:48
PJI000021,PJL000021,PRD016318,Paket Dokumentasi Produk,315000,2,2024-08-25 01:39:14
PJI000022,PJL000022,PRD016832,Paket Foto Katalog,540500,2,2025-05-14 23:53:04
PJI000023,PJL000023,PRD003653,Dompet Kulit,97500,5,2025-08-03 01:09:05
PJI000024,PJL000024,PRD000097,Scarf Motif,215500,4,2025-02-09 21:14:29
PJI000025,PJL000025,PRD019456,Tas Rajut,50500,5,2026-03-03 16:37:13
PJI000026,PJL000026,PRD004747,Paket Sembako,644000,1,2024-03-07 09:47:24
PJI000027,PJL000027,PRD013680,Paket Dokumentasi Produk,855000,1,2024-11-07 14:55:26
PJI000028,PJL000028,PRD012461,Sari Lemon,251000,1,2024-05-22 19:05:31
PJI000029,PJL000029,PRD018073,Abon Sapi,87500,6,2026-01-23 18:11:12
PJI000030,PJL000030,PRD013308,Pouch Batik,50500,4,2025-03-02 04:05:47
PJI000031,PJL000031,PRD004505,Jasa Reparasi Tas,1150000,2,2025-07-23 07:50:19
PJI000032,PJL000032,PRD003538,Konsultasi UMKM,295500,4,2024-07-29 09:53:41
PJI000033,PJL000033,PRD005011,Kain Tenun,358500,4,2026-05-25 01:26:08
PJI000034,PJL000034,PRD003868,Sari Lemon,218000,4,2025-09-06 11:13:41
PJI000035,PJL000035,PRD012283,Frozen Food,51500,6,2025-08-31 04:12:26
PJI000036,PJL000036,PRD015488,Paket Hampers,123500,1,2024-11-24 07:04:38
PJI000037,PJL000037,PRD013195,Aksesori HP,275500,3,2026-05-07 20:23:03
PJI000038,PJL000038,PRD008969,Paket Hampers,381000,4,2024-08-29 16:27:29
PJI000039,PJL000039,PRD011939,Laundry Kiloan,114000,1,2024-11-24 21:46:28
PJI000040,PJL000040,PRD018289,Sambal Cabai Kering,17500,1,2024-02-12 22:06:16
PJI000041,PJL000041,PRD010915,Pouch Batik,98000,4,2025-09-20 14:49:05
PJI000042,PJL000042,PRD000968,Peralatan Dapur,132500,2,2025-07-11 10:09:27
PJI000043,PJL000043,PRD005012,Dress Casual,288500,4,2026-02-24 13:33:54
PJI000044,PJL000044,PRD009594,Katalog Interaktif,1106000,2,2024-03-02 21:39:23
PJI000045,PJL000045,PRD016650,Teh Herbal,161500,3,2025-03-27 05:35:42
PJI000046,PJL000046,PRD012449,Sandal Kulit,59500,7,2025-08-16 09:44:53
PJI000047,PJL000047,PRD003619,Konsultasi UMKM,1074500,2,2026-01-18 22:11:22
PJI000048,PJL000048,PRD004866,Desain Banner Online,1244500,2,2025-07-07 09:00:33
PJI000049,PJL000049,PRD017162,Jamur Tiram,205500,1,2025-05-21 13:29:07
PJI000050,PJL000050,PRD019852,Perlengkapan Rumah,330500,4,2025-04-13 06:05:04
PJI000051,PJL000051,PRD007447,Hiasan Meja Resin,333000,4,2025-12-04 00:44:54
PJI000052,PJL000052,PRD015549,Lumpia Frozen,63500,1,2024-05-12 21:18:15
PJI000053,PJL000053,PRD001132,Servis Elektronik,412000,2,2024-03-21 09:05:12
PJI000054,PJL000054,PRD014946,Produk Reseller,98000,30,2026-05-24 16:32:43
PJI000055,PJL000055,PRD000300,Produk Rajut,561500,2,2024-05-25 14:59:07
PJI000056,PJL000056,PRD005937,Keripik Singkong,110000,4,2026-03-22 14:28:37
