pendaftaran_pelatihan_id,status_sertifikat_id,dokumen_id,nomor_sertifikat,tanggal_pengajuan,tanggal_terbit,diverifikasi_oleh_admin_id,catatan_validasi
PDF000001,TERBIT,DOK009501,SERT/UMKMT/2026/00000001,2025-01-30 04:24:26,2025-02-12 04:24:26,ADM000179,Sertifikat telah diterbitkan secara digital.
PDF000002,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000003,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000004,DIAJUKAN,,,2024-11-19 12:14:51,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000005,TERBIT,DOK009505,SERT/UMKMT/2026/00000005,2025-05-31 18:36:20,2025-06-08 18:36:20,ADM000098,Sertifikat telah diterbitkan secara digital.
PDF000006,DITOLAK,,,2024-11-07 05:45:31,,ADM000100,Tugas proyek belum diterima.
PDF000007,DIBATALKAN,,,2024-11-07 15:38:15,,ADM000029,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000008,DIAJUKAN,,,2024-08-19 18:49:18,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000009,DIAJUKAN,,,2024-08-17 19:29:36,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000010,TERBIT,DOK009510,SERT/UMKMT/2026/00000010,2024-10-29 18:25:05,2024-11-03 18:25:05,ADM000162,Sertifikat telah diterbitkan secara digital.
PDF000011,DITOLAK,,,2025-12-12 03:28:27,,ADM000246,Data peserta perlu diperbaiki.
PDF000012,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000013,DIAJUKAN,,,2024-08-13 01:23:32,,,Sertifikat sedang diajukan untuk verifikasi admin.
PDF000014,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000015,DIBATALKAN,,,2024-11-21 21:32:22,,ADM000132,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000016,TERBIT,DOK009516,SERT/UMKMT/2026/00000016,2025-03-24 07:48:31,2025-04-03 07:48:31,ADM000094,Sertifikat telah diterbitkan secara digital.
PDF000017,DIBATALKAN,,,2026-03-20 23:27:06,,ADM000231,Pengajuan sertifikat dibatalkan oleh sistem atau admin.
PDF000018,TERBIT,DOK009518,SERT/UMKMT/2026/00000018,2025-12-11 11:03:33,2025-12-18 11:03:33,ADM000147,Sertifikat telah diterbitkan secara digital.
PDF000019,TERBIT,DOK009519,SERT/UMKMT/2026/00000019,2024-08-11 17:23:55,2024-08-15 17:23:55,ADM000002,Sertifikat telah diterbitkan secara digital.
PDF000020,DITOLAK,,,2025-08-13 20:07:20,,ADM000022,Tugas proyek belum diterima.
PDF000021,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000022,TERBIT,DOK009522,SERT/UMKMT/2026/00000022,2024-09-11 20:14:31,2024-09-15 20:14:31,ADM000193,Sertifikat telah diterbitkan secara digital.
PDF000023,TERBIT,DOK009523,SERT/UMKMT/2026/00000023,2026-05-15 20:39:56,2026-05-21 20:39:56,ADM000076,Sertifikat telah diterbitkan secara digital.
PDF000024,TERBIT,DOK009524,SERT/UMKMT/2026/00000024,2025-07-18 22:52:52,2025-07-23 22:52:52,ADM000210,Sertifikat telah diterbitkan secara digital.
PDF000025,BELUM_TERBIT,,,,,,Peserta belum memenuhi seluruh syarat penerbitan sertifikat.
PDF000026,TERBIT,DOK009526,SERT/UMKMT/2026/00000026,2024-04-08 12:24:02,2024-04-17 12:24:02,ADM000037,Sertifikat telah diterbitkan secara digital.
