stok_mutasi_id,produk_id,umkm_id,tipe_mutasi,jumlah_perubahan,stok_sebelum,stok_sesudah,referensi_tipe,referensi_id,catatan,created_by_akun_id,created_at
STK000001,PRD012420,UMK003107,CANCEL_SALE,2,0,2,PENJUALAN,PJL000001,Stok kembali karena pembatalan penjualan Jasa Admin Marketplace.,AKUN003357,2024-03-15 05:01:42
STK000002,PRD010465,UMK002615,RESTOCK,42,356,398,PEMBELIAN_STOK,RST-00000002,Restock produk Paket Hampers dari produksi/pembelian baru.,AKUN002865,2024-11-18 11:20:57
STK000003,PRD005290,UMK001344,ADJUSTMENT,26,52,78,KOREKSI_STOK,,Penyesuaian stok hasil stock opname untuk Lip Balm Natural.,AKUN001594,2025-12-19 14:55:46
STK000004,PRD001685,UMK000440,SALE,-1,3,2,PENJUALAN,PJL000004,Pengurangan stok karena penjualan Template Konten.,AKUN000690,2024-07-07 20:13:45
STK000005,PRD019224,UMK004817,SALE,-1,44,43,PENJUALAN,PJL000005,Pengurangan stok karena penjualan Kopi Robusta.,AKUN005067,2025-04-03 14:11:57
STK000006,PRD004741,UMK001208,SALE,-2,36,34,PENJUALAN,PJL000006,Pengurangan stok karena penjualan Jasa Cleaning.,AKUN001458,2024-11-14 16:29:53
STK000007,PRD012302,UMK003077,SALE,-2,74,72,PENJUALAN,PJL000007,Pengurangan stok karena penjualan Hair Tonic Herbal.,AKUN003327,2025-07-17 06:12:50
STK000008,PRD019357,UMK004854,RESTOCK,92,30,122,PEMBELIAN_STOK,RST-00000008,Restock produk Tas Ecoprint dari produksi/pembelian baru.,AKUN005104,2025-12-16 10:40:04
STK000009,PRD014222,UMK003565,SALE,-7,284,277,PENJUALAN,PJL000009,Pengurangan stok karena penjualan Paket Sembako.,AKUN003815,2025-02-05 13:42:11
STK000010,PRD016838,UMK004219,SALE,-4,62,58,PENJUALAN,PJL000010,Pengurangan stok karena penjualan Kopi Robusta.,AKUN004469,2025-05-16 13:31:15
STK000011,PRD008789,UMK002200,SALE,-6,163,157,PENJUALAN,PJL000011,Pengurangan stok karena penjualan Bumbu Pecel.,AKUN002450,2025-07-11 01:35:28
STK000012,PRD005746,UMK001451,RESTOCK,134,367,501,PEMBELIAN_STOK,RST-00000012,Restock produk Paket Sembako dari produksi/pembelian baru.,AKUN001701,2024-04-13 16:00:57
STK000013,PRD010411,UMK002600,CANCEL_SALE,2,91,93,PENJUALAN,PJL000013,Stok kembali karena pembatalan penjualan Sambal Bawang.,AKUN002850,2025-01-22 23:18:38
