pendaftaran_pelatihan_id,assignment_id,status_submission_id,dokumen_id,submission_link,submitted_at,reviewed_at
PDF000001,ASN000028,BELUM_SUBMIT,,,,
PDF000002,ASN000057,DITOLAK,DOK000002,https://marketplace.example.com/store/umkm-3,2024-10-24 03:14:03,2024-10-25 20:14:03
PDF000003,ASN000081,DITERIMA,DOK000003,,2025-08-23 12:27:26,2025-08-27 08:27:26
PDF000004,ASN000106,DITERIMA,DOK000004,https://marketplace.example.com/store/umkm-5,2024-08-30 21:40:27,2024-08-31 20:40:27
PDF000005,ASN000132,BELUM_SUBMIT,,,,
PDF000006,ASN000156,SUBMITTED,DOK000006,https://www.canva.com/design/synthetic-00000006,2025-11-28 12:22:58,
PDF000007,ASN000179,REVISI,DOK000007,https://www.canva.com/design/synthetic-00000007,2026-03-03 11:49:31,2026-03-07 21:49:31
PDF000008,ASN000202,SUBMITTED,DOK000008,,2024-10-29 05:44:42,
PDF000009,ASN000226,REVISI,DOK000009,,2025-03-24 02:34:11,2025-03-24 19:34:11
PDF000010,ASN000255,DITOLAK,DOK000010,,2025-07-21 19:54:35,2025-07-23 13:54:35
PDF000011,ASN000278,DITERIMA,DOK000011,https://marketplace.example.com/store/umkm-12,2024-03-27 06:01:31,2024-03-29 16:01:31
PDF000012,ASN000307,REVIEW,DOK000012,,2024-05-27 13:53:08,
PDF000013,ASN000333,DITOLAK,DOK000013,,2025-08-20 00:30:20,2025-08-23 11:30:20
PDF000014,ASN000362,SUBMITTED,DOK000014,,2026-05-31 06:39:33,
PDF000015,ASN000391,BELUM_SUBMIT,,,,
PDF000016,ASN000414,SUBMITTED,DOK000016,https://www.canva.com/design/synthetic-00000016,2026-05-03 07:01:01,
PDF000017,ASN000441,DITERIMA,DOK000017,https://drive.google.com/file/d/synthetic-00000017,2025-12-21 00:57:37,2025-12-23 23:57:37
PDF000018,ASN000465,REVISI,DOK000018,,2024-01-23 08:44:15,2024-01-26 09:44:15
PDF000019,ASN000495,REVIEW,DOK000019,https://marketplace.example.com/store/umkm-20,2025-10-01 14:46:52,
PDF000020,ASN000519,BELUM_SUBMIT,,,,
PDF000021,ASN000540,BELUM_SUBMIT,,,,
PDF000022,ASN000566,REVISI,DOK000022,,2025-11-09 14:16:59,2025-11-11 16:16:59
PDF000023,ASN000590,SUBMITTED,DOK000023,,2026-03-26 17:24:37,
PDF000024,ASN000619,REVISI,DOK000024,https://drive.google.com/file/d/synthetic-00000024,2026-01-02 20:48:48,2026-01-04 03:48:48
PDF000025,ASN000646,SUBMITTED,DOK000025,,2024-07-22 20:28:16,
PDF000026,ASN000672,DITERIMA,DOK000026,,2025-07-24 04:31:49,2025-07-28 00:31:49
PDF000027,ASN000698,DITERIMA,DOK000027,https://www.canva.com/design/synthetic-00000027,2024-01-11 10:33:58,2024-01-15 13:33:58
PDF000028,ASN000716,SUBMITTED,DOK000028,,2024-03-25 21:45:16,
PDF000029,ASN000744,SUBMITTED,DOK000029,https://marketplace.example.com/store/umkm-30,2025-11-01 02:31:47,
PDF000030,ASN000769,BELUM_SUBMIT,,,,
PDF000031,ASN000798,REVIEW,DOK000031,,2025-01-22 20:50:45,
PDF000032,ASN000824,DITERIMA,DOK000032,,2026-03-03 11:08:11,2026-03-05 05:08:11
PDF000033,ASN000019,DITERIMA,DOK000033,,2025-12-30 20:09:25,2026-01-01 14:09:25
PDF000034,ASN000047,DITERIMA,DOK000034,,2025-01-20 08:30:08,2025-01-22 00:30:08
PDF000035,ASN000073,SUBMITTED,DOK000035,,2026-05-10 06:26:12,
PDF000036,ASN000098,SUBMITTED,DOK000036,,2024-06-26 20:46:00,
PDF000037,ASN000126,BELUM_SUBMIT,,,,
PDF000038,ASN000151,DITERIMA,DOK000038,,2026-03-11 03:44:04,2026-03-14 01:44:04
PDF000039,ASN000173,DITOLAK,DOK000039,,2025-03-10 06:24:52,2025-03-11 19:24:52
PDF000040,ASN000197,DITERIMA,DOK000040,,2025-06-30 07:41:57,2025-07-04 01:41:57
PDF000041,ASN000219,BELUM_SUBMIT,,,,
PDF000042,ASN000249,REVIEW,DOK000042,,2024-11-11 15:10:38,
PDF000043,ASN000271,REVIEW,DOK000043,,2024-11-09 19:31:00,
PDF000044,ASN000301,SUBMITTED,DOK000044,https://www.canva.com/design/synthetic-00000044,2025-06-10 18:53:54,
PDF000045,ASN000328,DITERIMA,DOK000045,https://marketplace.example.com/store/umkm-46,2024-09-25 03:12:52,2024-09-26 14:12:52
PDF000046,ASN000351,SUBMITTED,DOK000046,,2024-01-04 10:11:02,
PDF000047,ASN000383,REVIEW,DOK000047,https://marketplace.example.com/store/umkm-48,2024-10-05 04:19:31,
PDF000048,ASN000408,REVISI,DOK000048,,2024-08-29 20:12:05,2024-08-31 07:12:05
PDF000049,ASN000433,REVIEW,DOK000049,https://www.canva.com/design/synthetic-00000049,2024-01-28 09:59:09,
PDF000050,ASN000459,REVIEW,DOK000050,,2025-01-04 15:39:35,
PDF000051,ASN000489,SUBMITTED,DOK000051,,2024-12-01 00:12:29,
PDF000052,ASN000511,DITERIMA,DOK000052,https://drive.google.com/file/d/synthetic-00000052,2024-04-17 09:53:10,2024-04-18 10:53:10
PDF000053,ASN000533,DITOLAK,DOK000053,,2024-12-08 16:02:56,2024-12-10 00:02:56
PDF000054,ASN000559,BELUM_SUBMIT,,,,
PDF000055,ASN000583,BELUM_SUBMIT,,,,
PDF000056,ASN000611,BELUM_SUBMIT,,,,
PDF000057,ASN000638,DITERIMA,DOK000057,,2025-07-24 17:45:00,2025-07-27 16:45:00
PDF000058,ASN000663,SUBMITTED,DOK000058,,2026-04-12 02:22:41,
PDF000059,ASN000690,DITERIMA,DOK000059,,2024-08-04 10:05:07,2024-08-08 15:05:07
PDF000060,ASN000710,REVISI,DOK000060,https://www.canva.com/design/synthetic-00000060,2026-02-15 14:56:50,2026-02-16 22:56:50
